recording_id,source_path,basename,bytes,sha256,duration_seconds,codec,sample_rate,channels,source_mtime,status,asr_run_id,transcript_path,reviewer,reviewed_at,notes
C01_icons_of_the_trinity,/Users/fr.peter/OpenCode/Mystery of the Trinity/Conference 1_ Icons of the Trinity.m4a,Conference 1_ Icons of the Trinity.m4a,12829199,7d1716be0645fd0176ce17117db837f3e60fd94e78975d3fb3dd35d538e7dfb2,1489.428,aac,48000,1,1742295154,INVENTORIED,20260916_fasterwhisper_largev3_nocond,transcripts/clean/C01_icons_of_the_trinity.clean.md,pipeline-review,2026-09-16,top-level original kept read-only; working copy in audio_original/ (hash-verified)
C02_mystery,/Users/fr.peter/OpenCode/Mystery of the Trinity/Conference 2_ Mystery.m4a,Conference 2_ Mystery.m4a,9675133,27e1f9a8eefa00439ac0ef00dd8e09f2c4f9b3c0ef65c51e2836684aaa680a0b,1131.903,aac,48000,1,1742295170,INVENTORIED,20260916_fasterwhisper_largev3_nocond,transcripts/clean/C02_mystery.clean.md,pipeline-review,2026-09-16,top-level original kept read-only; working copy in audio_original/ (hash-verified)
C03_gift_and_liturgy,/Users/fr.peter/OpenCode/Mystery of the Trinity/Conference 3_ Gift and Liturgy.m4a,Conference 3_ Gift and Liturgy.m4a,12336995,5b97f5fd5e3b3457c9a1437744b4ba213572b908c886a4917cef781847843305,1438.164,aac,48000,1,1742295182,INVENTORIED,20260916_fasterwhisper_largev3_nocond,transcripts/clean/C03_gift_and_liturgy.clean.md,pipeline-review,2026-09-16,top-level original kept read-only; working copy in audio_original/ (hash-verified)
C04_relationship,/Users/fr.peter/OpenCode/Mystery of the Trinity/Conference 4_ Relationship.m4a,Conference 4_ Relationship.m4a,6905851,adbc3b824dc2b22259caa8ce169e410d223b2ad362973756511aaa0d0cb557d5,805.844,aac,48000,1,1742295192,INVENTORIED,20260916_fasterwhisper_largev3_nocond,transcripts/clean/C04_relationship.clean.md,pipeline-review,2026-09-16,top-level original kept read-only; working copy in audio_original/ (hash-verified)
C05_intimacy,/Users/fr.peter/OpenCode/Mystery of the Trinity/Conference 5_ Intimacy.m4a,Conference 5_ Intimacy.m4a,11872791,625aabbe1558dd0b29b04dd67512eebed915ab39196091dabba13a9ca64a4c1d,1393.236,aac,48000,1,1742295202,INVENTORIED,20260916_fasterwhisper_largev3_nocond,,,,top-level original kept read-only; working copy in audio_original/ (hash-verified)
C06_evangelization,/Users/fr.peter/OpenCode/Mystery of the Trinity/Conference 6_ Evangelization.m4a,Conference 6_ Evangelization.m4a,8188500,c6ffff0258b4ecb3f3b69a202367f9944377f67b9d295ad083824f876c692aaa,952.105,aac,48000,1,1742295210,INVENTORIED,20260916_fasterwhisper_largev3_nocond,transcripts/clean/C06_evangelization.clean.md,pipeline-review,2026-09-16,top-level original kept read-only; working copy in audio_original/ (hash-verified)
E01_engineering_mystery,/Users/fr.peter/OpenCode/Mystery of the Trinity/Engineering Mystery - Retreat Talk for Engineering Students.m4a,Engineering Mystery - Retreat Talk for Engineering Students.m4a,23259344,d4795bdcce1135868c2a85445c5d8b6b8a980843f204d58485e8d00423b18377,2766.292,aac,48000,1,1789569330,INVENTORIED,20260916_fasterwhisper_largev3_nocond,transcripts/clean/E01_engineering_mystery.clean.md,pipeline-review,2026-09-16,top-level original kept read-only; working copy in audio_original/ (hash-verified)
